,address,code,name,state,zone,coordinates
0,"Kishangarh Renwal, Rajasthan",BDHL,Badhal,Rajasthan,NWR,"[75.4516454, 27.2520587]"
1,"Kichha, Uttar Pradesh",KHH,KICHHA,Uttar Pradesh,NER,"[79.519746, 28.913427000000002]"
2,"MDR 89, Rajasthan",SRKN,Sherekan,Rajasthan,NWR,"[74.43499088287354, 29.55519806064484]"
3,"Bhukarka, Rajasthan",BKKA,Bhukarka,Rajasthan,NWR,"[74.75103096105158, 29.238227312503696]"
4,"State Highway 36, Rajasthan",NHR,Nohar,Rajasthan,NWR,"[74.77362781763077, 29.192562738768984]"
5,"Chennai, Tamil Nadu",PRGD,Perungudi,Tamil Nadu,SR,"[80.231363, 12.975217]"
6,"State Highway 23, Haryana",KNNA,Khinaniyan,Haryana,NWR,"[74.7179570607841, 29.345637263205944]"
7,,JKR,JAULKHERA,,,"[78.216684, 21.838466]"
8,,BYS,BARSALI,,,"[78.03136099999999, 21.909813]"
9,,GW,GIRWAR,,,"[78.936311, 23.838185999999997]"
10,,DGD,DANGIDHAR,,,"[79.019912, 23.871771000000003]"
11,"Dhodar, Madhya Pradesh",DOD,DHODHAR,Madhya Pradesh,WR,"[75.10354600000001, 23.770740999999997]"
12,,GAJ,GANESHGANJ,,,"[79.074633, 23.895862]"
13,"Jaynagar, West Bengal",JNM,Jayanagar Majilpur Halt,West Bengal,ER,"[88.415324, 22.168635]"
14,"Nasirabad, Rajasthan",NSD,NASIRABAD,Rajasthan,NWR,"[74.71699100000001, 26.294459999999997]"
15,,PHA,PATHARIA,,,"[79.192899, 23.905726]"
16,"Nizamabad, Andhra Pradesh",NZB,NIZAMABAD,Andhra Pradesh,SCR,"[78.103238, 18.679164999999998]"
17,,RJO,RAJENDRA PUL,,,"[86.01054599999999, 25.387446999999998]"
18,"Aduthurai, Tamil Nadu",ADT,ADUTURAI,Tamil Nadu,SR,"[79.478668, 11.009165]"
19,"Kumbakonam, Tamil Nadu",KMU,KUMBAKONAM,Tamil Nadu,SR,"[79.388644, 10.952962]"
20,"Sivaganga, Tamil Nadu",MNM,MANAMADURAI JN,Tamil Nadu,SR,"[78.45351, 9.681538999999999]"
21,,GKP,GORAKHPUR JN,,,"[83.381499, 26.759311]"
22,,VRM,VARNAMA,,,"[73.16928300000001, 22.184274000000002]"
23,,GKC,GORAKHPUR CANT,,,"[83.416821, 26.750649]"
24,,ITA,ITOLA,,,"[73.156746, 22.149889]"
25,"Baraut, Uttar Pradesh",BTU,BARAUT,Uttar Pradesh,NR,"[77.273006, 29.09692]"
26,"Moga, Punjab",MOGA,Moga,Punjab,NR,"[75.16846699999999, 30.817296]"
27,,SIOB,SAMAKHIALI JN,,,"[70.503394, 23.309819]"
28,"MDR 87, Rajasthan",RDK,Rasheedpura Khori,Rajasthan,NWR,"[75.087121, 27.713786000000002]"
29,,PVD,PEDDAVADIAPUDI,,,"[80.612645, 16.414205000000003]"
30,,YLM,ELLAMANCHILI,,,"[82.85262, 17.553652000000003]"
31,,CHPT,Chatrappatti,,,"[77.655113, 10.476970999999999]"
32,,JLD,JARWAL ROAD,,,"[81.540406, 27.120389]"
33,,BRJN,BRAJRAJNAGAR,,,"[83.923653, 21.822718000000002]"
34,,CLJ,COLONELGANJ,,,"[81.69417800000001, 27.137698]"
35,,KTHL,KATHOLA,,,"[81.8556626477, 27.1465555756]"
36,,MND,MUNDERWA,,,"[82.903373, 26.776435]"
